"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Villa Lidköping BK","Bollnäs GIF","8 - 6","3021","Roland Fager","s1011","2010-10-27 19:00:00","2010-10-27","19:00:00","8","6","1","6","1"
"IK Sirius","Sandvikens AIK/BK","5 - 1","1759","Thomas Nordin","s1011","2010-10-27 19:00:00","2010-10-27","19:00:00","5","1","2","13","1"
"Västerås SK/BK","IF Boltic","9 - 3","1836","Ronny Andersson","s1011","2010-10-28 19:00:00","2010-10-28","19:00:00","9","3","3","11","1"
"Hammarby IF","Edsbyns IF","6 - 5","3511","Håkan Sjösten","s1011","2010-10-29 19:00:00","2010-10-29","19:00:00","6","5","4","8","1"
"IFK Kungälv","Broberg/Söderhamn","2 - 7","821","Mikael Karlsson (Grästorp)","s1011","2010-10-29 19:00:00","2010-10-29","19:00:00","2","7","5","12","2"
"Bollnäs GIF","IK Sirius","5 - 4","2312","Jonas Kandell","s1011","2010-10-29 20:00:00","2010-10-29","20:00:00","5","4","6","2","1"
"IFK Vänersborg","HaparandaTornio","4 - 5","2673","Peter Öhrlund","s1011","2010-10-30 17:00:00","2010-10-30","17:00:00","4","5","7","14","2"
"Edsbyns IF","Vetlanda BK","11 - 4","1690","Ronny Andersson","s1011","2010-10-31 17:00:00","2010-10-31","17:00:00","11","4","8","10","2"
"TB Västerås","IFK Vänersborg","5 - 5","639","Peter Öhrlund","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","5","5","9","7","x"
"Vetlanda BK","Villa Lidköping BK","4 - 2","646","Anders Kristiansson","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","4","2","10","1","1"
"IF Boltic","Hammarby IF","2 - 10","949","Jonas Kandell","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","2","10","11","4","1"
"Broberg/Söderhamn","IK Sirius","5 - 4","954","Roland Fager","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","5","4","12","2","1"
"Sandvikens AIK/BK","Västerås SK/BK","3 - 1","2012","Ulrik Bergman","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","3","1","13","3","1"
"Bollnäs GIF","IFK Kungälv","4 - 1","1417","Kent Lisell","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","4","1","6","5","1"
