Source page: http://elitrapport.se/schema1213.asp?gamesectionID=10008,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report3014.html","020000001053","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report3014.html","6 - 4","","http://www.elitrapport.se/Data/report3014.html","Matchrapport","","2012-10-20 15:45","1350691200000","-","3338","Jonas Kandell"
"http://www.elitrapport.se/Data/report2965.html","020000001005","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report2965.html","4 - 1","","http://www.elitrapport.se/Data/report2965.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","3501","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report2966.html","020000001006","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report2966.html","1 - 5","","http://www.elitrapport.se/Data/report2966.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","1191","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report2967.html","020000001007","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report2967.html","2 - 2","","http://www.elitrapport.se/Data/report2967.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","427","Peter Öhrlund"
"http://www.elitrapport.se/Data/report2968.html","020000001004","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report2968.html","5 - 3","","http://www.elitrapport.se/Data/report2968.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","1489","Mikael Karlsson (Uppsala)"
"http://www.elitrapport.se/Data/report2969.html","020000001001","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/Data/report2969.html","6 - 4","","http://www.elitrapport.se/Data/report2969.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","1333","Ulrik Bergman"
"http://www.elitrapport.se/Data/report2970.html","020000001002","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report2970.html","5 - 2","","http://www.elitrapport.se/Data/report2970.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","3203","Anders Kristiansson"
"http://www.elitrapport.se/Data/report2971.html","020000001003","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/Data/report2971.html","9 - 3","","http://www.elitrapport.se/Data/report2971.html","Matchrapport","","2012-10-24 19:00","1351036800000","-","1759","Håkan Sjösten"
"http://www.elitrapport.se/Data/report2973.html","020000001014","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report2973.html","4 - 6","","http://www.elitrapport.se/Data/report2973.html","Matchrapport","","2012-10-26 19:00","1351209600000","-","1734","Roland Fager"
"http://www.elitrapport.se/Data/report2974.html","020000001011","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/Data/report2974.html","2 - 5","","http://www.elitrapport.se/Data/report2974.html","Matchrapport","","2012-10-26 19:00","1351209600000","-","1382","Jonas Kandell"
"http://www.elitrapport.se/Data/report2975.html","020000001009","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/Data/report2975.html","5 - 1","","http://www.elitrapport.se/Data/report2975.html","Matchrapport","","2012-10-26 19:00","1351209600000","-","2045","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report2976.html","020000001010","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report2976.html","3 - 2","","http://www.elitrapport.se/Data/report2976.html","Matchrapport","","2012-10-26 19:00","1351209600000","-","1019","Anders Kristiansson"
"http://www.elitrapport.se/Data/report2977.html","020000001008","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report2977.html","1 - 8","","http://www.elitrapport.se/Data/report2977.html","Matchrapport","","2012-10-27 20:00","1351296000000","-","1731","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report2978.html","020000001012","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report2978.html","6 - 3","","http://www.elitrapport.se/Data/report2978.html","Matchrapport","","2012-10-28 13:15","1351382400000","-","1106","Roland Fager"
"http://www.elitrapport.se/Data/report2972.html","020000001013","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report2972.html","5 - 4","","http://www.elitrapport.se/Data/report2972.html","Matchrapport","","2012-10-31 19:00","1351641600000","-","1272","Håkan Sjösten"
"http://www.elitrapport.se/Data/report2979.html","020000001019","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/Data/report2979.html","2 - 4","","http://www.elitrapport.se/Data/report2979.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","725","Ulrik Bergman"
"http://www.elitrapport.se/Data/report2980.html","020000001021","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report2980.html","5 - 5","","http://www.elitrapport.se/Data/report2980.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","1195","Peter Öhrlund"
"http://www.elitrapport.se/Data/report2982.html","020000001015","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report2982.html","3 - 4","","http://www.elitrapport.se/Data/report2982.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","1588","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report2983.html","020000001016","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report2983.html","10 - 1","","http://www.elitrapport.se/Data/report2983.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","2392","Jonas Kandell"
"http://www.elitrapport.se/Data/report2981.html","020000001017","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report2981.html","11 - 7","","http://www.elitrapport.se/Data/report2981.html","Matchrapport","","2012-11-02 19:15","1351814400000","-","1429","Roland Fager"
"http://www.elitrapport.se/Data/report2984.html","020000001018","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report2984.html","1 - 3","","http://www.elitrapport.se/Data/report2984.html","Matchrapport","","2012-11-03 15:00","1351900800000","-","439","Anders Kristiansson"
