Source page: http://www.elitrapport.se/schema.asp?gamesectionID=10201,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report7526.html","020000001061","","http://www.elitrapport.se/team.asp?teamID=181","Kalix Bandy","","http://www.elitrapport.se/team.asp?teamID=131","TB Västerås","","http://www.elitrapport.se/Data/report7526.html","4 - 3","","http://www.elitrapport.se/Data/report7526.html","Matchrapport","","2014-10-24 19:00","1414108800000","-","222","Peteri Kuusela"
"http://www.elitrapport.se/Data/report7529.html","020000001060","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report7529.html","9 - 6","","http://www.elitrapport.se/Data/report7529.html","Matchrapport","","2014-10-24 19:00","1414108800000","-","1809","Ulrik Bergman"
"http://www.elitrapport.se/Data/report7530.html","020000001057","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report7530.html","2 - 5","","http://www.elitrapport.se/Data/report7530.html","Matchrapport","","2014-10-24 19:00","1414108800000","-","656","Mikael Hillerius"
"http://www.elitrapport.se/Data/report7531.html","020000001058","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report7531.html","5 - 5","","http://www.elitrapport.se/Data/report7531.html","Matchrapport","","2014-10-24 19:00","1414108800000","-","3188","Daniel Labe"
"http://www.elitrapport.se/Data/report7532.html","020000001059","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF","","http://www.elitrapport.se/Data/report7532.html","4 - 4","","http://www.elitrapport.se/Data/report7532.html","Matchrapport","","2014-10-24 19:00","1414108800000","-","2469","Peter Öhrlund"
"http://www.elitrapport.se/Data/report7528.html","020000001063","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report7528.html","3 - 3","","http://www.elitrapport.se/Data/report7528.html","Matchrapport","","2014-10-24 19:07","1414108800000","-","1060","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report7527.html","020000001062","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report7527.html","4 - 3","","http://www.elitrapport.se/Data/report7527.html","Matchrapport","","2014-10-24 20:00","1414108800000","-","3124","Roland Fager"
"http://www.elitrapport.se/Data/report7477.html","020000001012","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF","","http://www.elitrapport.se/Data/report7477.html","7 - 4","","http://www.elitrapport.se/Data/report7477.html","Matchrapport","","2014-10-29 19:00","1414540800000","-","3224","Roland Fager"
"http://www.elitrapport.se/Data/report7478.html","020000001013","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report7478.html","5 - 5","","http://www.elitrapport.se/Data/report7478.html","Matchrapport","","2014-10-29 19:00","1414540800000","-","1734","Jonas Kandell"
"http://www.elitrapport.se/Data/report7479.html","020000001014","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report7479.html","4 - 4","","http://www.elitrapport.se/Data/report7479.html","Matchrapport","","2014-10-29 19:00","1414540800000","-","3267","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report7482.html","020000001011","","http://www.elitrapport.se/team.asp?teamID=181","Kalix Bandy","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report7482.html","4 - 3","","http://www.elitrapport.se/Data/report7482.html","Matchrapport","","2014-10-29 19:00","1414540800000","-","674","Juha-Matti Kanniainen"
"http://www.elitrapport.se/Data/report7480.html","020000001009","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report7480.html","2 - 4","","http://www.elitrapport.se/Data/report7480.html","Matchrapport","","2014-10-30 19:00","1414627200000","-","1010","Jacob Hallkvist"
"http://www.elitrapport.se/Data/report7519.html","020000001053","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF","","http://www.elitrapport.se/team.asp?teamID=181","Kalix Bandy","","http://www.elitrapport.se/Data/report7519.html","3 - 4","","http://www.elitrapport.se/Data/report7519.html","Matchrapport","","2014-10-31 19:00","1414713600000","-","1120","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report7520.html","020000001051","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/Data/report7520.html","5 - 3","","http://www.elitrapport.se/Data/report7520.html","Matchrapport","","2014-10-31 19:00","1414713600000","-","2226","Ulrik Bergman"
"http://www.elitrapport.se/Data/report7481.html","020000001010","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=131","TB Västerås","","http://www.elitrapport.se/Data/report7481.html","6 - 4","","http://www.elitrapport.se/Data/report7481.html","Matchrapport","","2014-10-31 20:00","1414713600000","-","1539","Mikael Hillerius"
"http://www.elitrapport.se/Data/report7483.html","020000001008","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/Data/report7483.html","5 - 1","","http://www.elitrapport.se/Data/report7483.html","Matchrapport","","2014-11-01 16:00","1414800000000","-","502","Daniel Labe"
"http://www.elitrapport.se/Data/report7485.html","020000001020","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report7485.html","4 - 1","","http://www.elitrapport.se/Data/report7485.html","Matchrapport","","2014-11-05 19:00","1415145600000","-","1117","Jonas Kandell"
"http://www.elitrapport.se/Data/report7486.html","020000001021","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report7486.html","6 - 6","","http://www.elitrapport.se/Data/report7486.html","Matchrapport","","2014-11-05 19:00","1415145600000","-","1438","Christoffer Aidesjö"
"http://www.elitrapport.se/Data/report7488.html","020000001015","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius","","http://www.elitrapport.se/Data/report7488.html","3 - 3","","http://www.elitrapport.se/Data/report7488.html","Matchrapport","","2014-11-05 19:00","1415145600000","-","575","Roland Fager"
"http://www.elitrapport.se/Data/report7489.html","020000001018","","http://www.elitrapport.se/team.asp?teamID=131","TB Västerås","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report7489.html","3 - 14","","http://www.elitrapport.se/Data/report7489.html","Matchrapport","","2014-11-05 19:00","1415145600000","-","436","Ulrik Bergman"
"http://www.elitrapport.se/Data/report7490.html","020000001016","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report7490.html","2 - 2","","http://www.elitrapport.se/Data/report7490.html","Matchrapport","","2014-11-07 19:00","1415318400000","-","605","Peter Öhrlund"
"http://www.elitrapport.se/Data/report7484.html","020000001017","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/team.asp?teamID=181","Kalix Bandy","","http://www.elitrapport.se/Data/report7484.html","6 - 3","","http://www.elitrapport.se/Data/report7484.html","Matchrapport","","2014-11-08 16:00","1415404800000","-","1011","Jacob Hallkvist"
"http://www.elitrapport.se/Data/report7491.html","020000001027","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report7491.html","2 - 2","","http://www.elitrapport.se/Data/report7491.html","Matchrapport","","2014-11-09 19:00","1415491200000","-","2256","Peter Öhrlund"
"http://www.elitrapport.se/Data/report7492.html","020000001025","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report7492.html","3 - 5","","http://www.elitrapport.se/Data/report7492.html","Matchrapport","","2014-11-12 19:00","1415750400000","-","1654","Daniel Labe"
